"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2018","Total","Female","0","Estimate - de jure","Final figure, complete","2019","221453",""
"Italy","2018","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2019","1181740",""
"Italy","2018","Total","Female","1","Estimate - de jure","Final figure, complete","2019","230466",""
"Italy","2018","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2019","960287",""
"Italy","2018","Total","Female","2","Estimate - de jure","Final figure, complete","2019","236597",""
"Italy","2018","Total","Female","3","Estimate - de jure","Final figure, complete","2019","244349",""
"Italy","2018","Total","Female","4","Estimate - de jure","Final figure, complete","2019","248875",""
"Italy","2018","Total","Female","5","Estimate - de jure","Final figure, complete","2019","259676",""
"Italy","2018","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2019","1351543",""
"Italy","2018","Total","Female","6","Estimate - de jure","Final figure, complete","2019","264519",""
"Italy","2018","Total","Female","7","Estimate - de jure","Final figure, complete","2019","271570",""
"Italy","2018","Total","Female","8","Estimate - de jure","Final figure, complete","2019","275973",""
"Italy","2018","Total","Female","9","Estimate - de jure","Final figure, complete","2019","279805",""
"Italy","2018","Total","Female","10","Estimate - de jure","Final figure, complete","2019","278245",""
"Italy","2018","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2019","1389291",""
"Italy","2018","Total","Female","11","Estimate - de jure","Final figure, complete","2019","278157",""
"Italy","2018","Total","Female","12","Estimate - de jure","Final figure, complete","2019","275898",""
"Italy","2018","Total","Female","13","Estimate - de jure","Final figure, complete","2019","279600",""
"Italy","2018","Total","Female","14","Estimate - de jure","Final figure, complete","2019","277391",""
"Italy","2018","Total","Female","15","Estimate - de jure","Final figure, complete","2019","275379",""
"Italy","2018","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2019","1393182",""
"Italy","2018","Total","Female","16","Estimate - de jure","Final figure, complete","2019","277819",""
"Italy","2018","Total","Female","17","Estimate - de jure","Final figure, complete","2019","282168",""
"Italy","2018","Total","Female","18","Estimate - de jure","Final figure, complete","2019","278580",""
"Italy","2018","Total","Female","19","Estimate - de jure","Final figure, complete","2019","279236",""
"Italy","2018","Total","Female","20","Estimate - de jure","Final figure, complete","2019","280098",""
"Italy","2018","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2019","1429282",""
"Italy","2018","Total","Female","21","Estimate - de jure","Final figure, complete","2019","281899",""
"Italy","2018","Total","Female","22","Estimate - de jure","Final figure, complete","2019","282552",""
"Italy","2018","Total","Female","23","Estimate - de jure","Final figure, complete","2019","288162",""
"Italy","2018","Total","Female","24","Estimate - de jure","Final figure, complete","2019","296571",""
"Italy","2018","Total","Female","25","Estimate - de jure","Final figure, complete","2019","310303",""
"Italy","2018","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2019","1587513",""
"Italy","2018","Total","Female","26","Estimate - de jure","Final figure, complete","2019","310788",""
"Italy","2018","Total","Female","27","Estimate - de jure","Final figure, complete","2019","317933",""
"Italy","2018","Total","Female","28","Estimate - de jure","Final figure, complete","2019","320105",""
"Italy","2018","Total","Female","29","Estimate - de jure","Final figure, complete","2019","328384",""
"Italy","2018","Total","Female","30","Estimate - de jure","Final figure, complete","2019","323532",""
"Italy","2018","Total","Female","30 - 34","Estimate - de jure","Final figure, complete","2019","1682623",""
"Italy","2018","Total","Female","31","Estimate - de jure","Final figure, complete","2019","326289",""
"Italy","2018","Total","Female","32","Estimate - de jure","Final figure, complete","2019","338013",""
"Italy","2018","Total","Female","33","Estimate - de jure","Final figure, complete","2019","344342",""
"Italy","2018","Total","Female","34","Estimate - de jure","Final figure, complete","2019","350447",""
"Italy","2018","Total","Female","35","Estimate - de jure","Final figure, complete","2019","363330",""
"Italy","2018","Total","Female","35 - 39","Estimate - de jure","Final figure, complete","2019","1901851",""
