shape_CD_GEOCODM	date	country	state	city	ibgeID	newDeaths	deaths	newCases	totalCases	deaths_per_100k_inhabitants	totalCases_per_100k_inhabitants	deaths_by_totalCases	X_source	is_last	day1_death	day_10death	day_5death	day1_case	day_100cases	day_10cases	day_25cases	day_50cases	day_75cases	tem_rodo	tem_rodo_1	tem_rodo_2	MapaCD_GEOCODM	MapaTematico	Cluster_Espacial	Label_Cluster_Espacial	ID da observação dos clusters	Cluster 30	Cluster 29	Cluster 28	Cluster 27	Cluster 26	Cluster 25	Cluster 24	Cluster 23	Cluster 22	Cluster 21	Cluster 20	Cluster 19	Cluster 18	
3500907	12/06/2020	Brazil	SP	Altair/SP	3500907	0	0	0	1	0	24,03846	0	SES	TRUE	0	0	0	18398	0	0	0	0	0	0	0	0	10	0	1	Conglomerado 1	3500907	1	1	1	1	1	1	1	1	1	1	1	1	1	
3501004	12/06/2020	Brazil	SP	Altin�polis/SP	3501004	0	0	0	6	0	37,07365	0	SES	TRUE	0	0	0	18395	0	0	0	0	0	0	1	0	11	0	1	Conglomerado 1	3501004	1	1	1	1	1	1	1	1	1	1	1	1	1	
3501103	12/06/2020	Brazil	SP	Alto Alegre/SP	3501103	0	1	0	1	24,39619	24,39619	1	SES	TRUE	18394	0	0	18391	0	0	0	0	0	0	1	0	12	0	1	Conglomerado 1	3501103	12	12	12	12	12	12	1	1	1	1	1	1	1	
3501152	12/06/2020	Brazil	SP	Alum�nio/SP	3501152	0	1	0	15	5,36826	80,52394	0,06667	SES	TRUE	18397	0	0	18394	0	10	0	0	0	0	0	1	13	0	2	Conglomerado 2	3501152	2	2	2	2	2	2	2	2	2	2	2	2	2	
3501202	12/06/2020	Brazil	SP	�lvares Florence/SP	3501202	0	0	0	1	0	27,1813	0	SES	TRUE	0	0	0	18411	0	0	0	0	0	1	0	0	14	0	1	Conglomerado 1	3501202	1	1	1	1	1	1	1	1	1	1	1	1	1	
3501301	12/06/2020	Brazil	SP	�lvares Machado/SP	3501301	0	1	0	17	4,01365	68,23199	0,05882	SES	TRUE	18405	0	0	18380	0	30	0	0	0	0	0	1	15	0	5	Conglomerado 5	3501301	9	9	9	9	9	9	9	9	9	9	9	9	9	
3501400	12/06/2020	Brazil	SP	�lvaro de Carvalho/SP	3501400	0	2	0	2	38,26287	38,26287	1	SES	TRUE	18404	0	0	18390	0	0	0	0	0	0	0	0	16	0	6	Conglomerado 6	3501400	16	16	16	16	16	16	16	16	16	16	16	16	16	
3501509	12/06/2020	Brazil	SP	Alvinl�ndia/SP	3501509	0	0	0	1	0	31,03662	0	SES	TRUE	0	0	0	18415	0	0	0	0	0	0	0	1	17	0	1	Conglomerado 1	3501509	1	1	1	1	1	1	1	1	1	1	1	1	1	
3501608	12/06/2020	Brazil	SP	Americana/SP	3501608	0	12	3	210	5,00841	87,64717	0,05714	SES	TRUE	18356	68	54	18352	58	15	18	29	50	0	0	1	18	0	2	Conglomerado 2	3501608	2	2	2	2	2	2	2	2	2	2	2	2	2	
3501707	12/06/2020	Brazil	SP	Am�rico Brasiliense/SP	3501707	0	2	4	69	4,93778	170,35355	0,02899	SES	TRUE	18408	0	0	18363	0	26	41	56	0	0	0	0	19	0	2	Conglomerado 2	3501707	2	2	2	2	2	2	2	2	2	2	2	2	2	
